size 20 20
tileset interior
visibilityRadius 6
unexplored


encounter "ghostsBossLvl16" 4 16
encounter "ghostsLvl15" 13 11
encounter "ghostsLvl15" 4 7
encounter "ghostsLvl15" 16 3
encounter "ghostsLvl15" 9 2

item 1 "armorstand_superb" 2 18
elevation 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 


opaque  0 2  0 3  1 1  1 2  1 3  1 5  1 6  1 7  1 8  1 14  1 15  1 16  1 17  1 18  2 1  2 4  2 5  2 9  2 14  2 19  3 0  3 4  3 9  3 13  3 18  4 0  4 4  4 10  4 11  4 12  4 13  4 19  5 0  5 4  5 10  5 12  5 18  6 1  6 3  6 5  6 10  6 12  6 19  7 1  7 2  7 3  7 5  7 9  7 11  7 18  8 1  8 6  8 11  8 12  8 19  9 0  9 6  9 8  9 10  9 12  9 19  10 1  10 5  10 7  10 8  10 13  10 19  11 1  11 4  11 7  11 9  11 13  11 18  12 2  12 4  12 6  12 9  12 14  12 18  13 1  13 2  13 3  13 5  13 6  13 8  13 14  13 17  14 1  14 6  14 7  14 9  14 14  14 17  15 0  15 6  15 7  15 8  15 9  15 13  15 16  16 0  16 7  16 10  16 16  17 0  17 6  17 10  17 12  17 15  18 1  18 2  18 3  18 4  18 5  18 6  18 11  18 12  18 13  18 15  19 13  19 14
impass  0 0  0 1  0 2  0 3  0 4  0 5  0 6  0 7  0 8  0 9  0 10  0 11  0 12  0 13  0 14  0 15  0 16  0 17  0 18  0 19  1 0  1 1  1 2  1 3  1 5  1 6  1 7  1 8  1 14  1 15  1 16  1 17  1 18  1 19  2 0  2 1  2 4  2 5  2 6  2 9  2 14  2 19  3 0  3 4  3 5  3 8  3 9  3 13  3 18  3 19  4 0  4 4  4 10  4 11  4 12  4 13  4 19  5 0  5 4  5 5  5 9  5 10  5 12  5 18  5 19  6 0  6 1  6 3  6 5  6 10  6 12  6 19  7 0  7 1  7 2  7 3  7 5  7 9  7 11  7 18  7 19  8 0  8 1  8 6  8 11  8 12  8 19  9 0  9 1  9 6  9 8  9 10  9 12  9 19  10 0  10 1  10 5  10 7  10 8  10 12  10 13  10 19  11 0  11 1  11 3  11 4  11 7  11 9  11 13  11 18  11 19  12 0  12 2  12 4  12 6  12 9  12 13  12 14  12 18  12 19  13 0  13 1  13 2  13 3  13 5  13 6  13 8  13 14  13 17  13 19  14 0  14 1  14 6  14 7  14 9  14 10  14 14  14 17  14 19  15 0  15 5  15 6  15 7  15 8  15 9  15 13  15 16  15 19  16 0  16 1  16 7  16 10  16 11  16 16  16 19  17 0  17 1  17 6  17 10  17 12  17 15  17 19  18 0  18 1  18 2  18 3  18 4  18 5  18 6  18 11  18 12  18 13  18 15  18 19  19 0  19 1  19 2  19 3  19 4  19 5  19 6  19 7  19 8  19 9  19 10  19 11  19 12  19 13  19 14  19 15  19 16  19 17  19 18  19 19
